əkəbə~dhə	əkbəndʰə
ʈhakorəɟii	ʈʰakorɟi
ʈhaʈhə	ʈʰaʈʰ
ʈhaʈhəɖii	ʈʰaʈʰɖi
ʈharəvu~	ʈʰarvu~
ʈhaləvəvu~	ʈʰaləvvu~
ʈhalu~	ʈʰalu~
ʈhavəku~	ʈʰavku~
ʈha~səvu~	ʈʰa~svu~
ʈhiikə	ʈʰik
ʈhi~gəravu~	ʈʰi˜gravu~
ʈhu~ʈhəvavu~	ʈʰu~ʈʰvavu~
ʈhu~ʈhu~	ʈʰu~ʈʰu~
ʈhekəɖii	ʈʰekɖi
ʈhekəɖo	ʈʰekɖo
ʈhekəvu~	ʈʰekvu~
ʈhekaɳu~	tʰekaɳu~
ʈherəʈherə	ʈʰerʈʰer
ʈherəvəvu~	ʈʰerəvvu~
ʈheləvu~	ʈʰelvu~
ʈhelo	ʈʰelo
ʈheʃə	ʈʰeʃ
ʈhokərə	ʈʰokər
ʈhokəvu~	ʈʰokvu~
ʈhokə~ʈhokə	ʈʰokəmʈʰok
ʈhoʈhə	ʈʰoʈʰ
ʈha~so	ʈʰo~so
ɖəkho	ɖəkʰo
ɖəgəməgə	ɖəgməg
ɖəgəməgəvu~	ɖəgməgvu~
ɖəgəlu~	ɖəglu~
ɖəgəlo	ɖəglo
ɖəgəvu~	ɖəgvu~
ɖəgəɭu~	ɖəgɭu~
ɖəghavu~	ɖəgʰavu~
ɖəʈʈo	ɖəʈʈo
ɖəɳəkəvu~	ɖəɳəkvu~
ɖəphəɳu~	ɖəpʰɳu~
ɖəbəlu~	ɖəblu~
ɖəbii	ɖəbi
ɖəbo	ɖəbo
ɖəmro	ɖəmro
ɖərə	ɖər
ɖərəvu~	ɖərvu~
ɖəraməɳu~	ɖəraməɳu~
ɖəraməɳu~	 <ɖəraməɳu~>  
ɖəsəvu~	ɖəsvu~
ɖəhapəɳə	ɖəhapəɳ
ɖəhapəɳə	 <ɖəhapəɳə>  neut 
ɖəhoɭəvu~	ɖəhoɭvu~
ɖəhoɭu~	ɖəhoɭu~
ɖə~khə	ɖəɳkʰə
ɖə~khəvu~	ɖə˜kʰvu~
ɖə~khiilu~	ɖəɳkʰilu~
ɖə~phaʃə	ɖəmpʰaʃ
ɖakəɳə	ɖakəɳ
ɖaku	ɖaku
ɖaghə	ɖagʰ
ɖaghiju~	ɖagʰiju~
ɖaghu~	ɖagʰu
ɖagho	ɖagʰo
ɖacu~	ɖacu~
ɖabu~	ɖabu~
ɖaberii	ɖaberi
ɖaboɖii	ɖaboɖi
ɖamə	ɖam
ɖaməvu~	ɖamvu~
ɖamaɖoɭə	ɖamaɖoɭ
ɖaɭə	ɖaɭ
ɖa~khəɭii	ɖø~kʰɭi
ɖa~gərə	ɖa~gər
ɖa~ɖə	ɖa~ɖ
ɖa~jo	ɖa~ɖijo
ɖa~ɖii	ɖa~ɳɖi
ɖukkərə	ɖukkər
ɖuu~gərə	ɖu˜gər
ɖuu~gəraɭə	ɖu˜graɭ
ɖu~gərii	ɖu˜gri
ɖu~gəɭii	ɖu˜gɭi
ɖuuco	ɖuco
ɖuubəkii	ɖubki
ɖubəvu~	ɖubvu~
ɖumo	ɖumo
ɖusəku~	ɖusku~
ɖuu~ʈii	ɖu~ʈi
ɖuu~ɖuu~	ɖuɳɖu~
ɖokə	ɖok
ɖokiju~	ɖokiju~
ɖoku~	ɖoku~
ɖoɖo	ɖoɖo
ɖobu~	ɖobu~
ɖolə	ɖol
ɖoləvu~	ɖolvu~
ɖoʃii	ɖoʃi
ɖoɭo	ɖoɭo
ɖhəgəlo	ɖʰəglo
ɖhəcupəchu	ɖʰəcupəcu
ɖhəbə	ɖʰəb
ɖhəsəɖəvu~	ɖʰəsəɖvu~
ɖhəɭəvu~	ɖʰəvu~
ɖhə~kavu~	ɖʰə˜kavu~
ɖhə~gə	ɖʰə˜g
ɖhə~ɖhero	ɖʰəɳɖʰero
ɖhə~ɖhoɭəvu~	ɖʰəɳɖʰoɭvu~
ɖhakəɖhoɭə	ɖʰakɖʰoɭ
ɖhalə	ɖʰal
ɖhalə	ɖʰaɭ
ɖhaɭəvu~	ɖʰaɭvu~
ɖha~kəɳə	ɖʰa~kəɳ
ɖha~kəɳu~	ɖʰa~kɳu~
ɖhakəvu~	ɖʰa~kvu~
ɖhiilə	ɖʰil
ɖhiilu~	ɖʰilu~
ɖhii~gəlii	ɖʰi˜gli
ɖhii~cəɳə	ɖʰi~cəɳ
ɖhii~cəvu~	ɖʰi~cvu~
ɖhebəru~	ɖʰebru~
ɖhokəɭii	ɖʰokɭi
ɖhokəɭu~	ɖʰokɭu~
ɖhorə	ɖʰor
ɖhoɭə	ɖʰol
ɖholii	ɖʰoli
ɖhoɭə	ɖʰoɭ
ɖhoɭəvu~	ɖʰoɭvu~
ɖho~gə	ɖʰø~˜gə
təkə	tək
təkətəkəvu~	təktəkvu~
təkərarə	təkrar
təkəladii	təkladi
təkəliiphə	təklipʰ
təkiijo	təkijo
təkedarii	təkedari
təkhəto	təkʰto
təgəɖo	təgɖo
təgətəgəvu~	təgtəgvu~
təgaru~	təgaru~
təgeɖəvu~	təgeɖvu~
təɟə	təɟ
təɟəviiɟə	təɟviɟ
təɟəvu~	təɟvu~
təɟəgnə	təɟəgnə
təʈə	təʈ
təʈəsthə	təʈəstʰə
təɖə	təɖ
təɖəko	təɖko
təɖəphəɖə	təɖpʰəɖ
təɖəphəɖəvu~	təɖpʰəɖvu~
təɖamarə	təɖamar
təɳəkhəlu~	təɳəkʰəlu~
təɳəkho	təɳkʰo
təɳavu~	təɳavu~
tətəkalə	tətkal
tətəɖavəvu~	tətɖavvu~
tətvə	tətvə
tətvəgnanə	tətvəgnanə
tətvəgnanii	tətvəgnani
tətha	tətʰa
təthapi	tətʰapi
tədəupəra~tə	tədupra~t
tənə	tən
təpəkhiirə	təpkʰir
təpəvu~	təpvu~
təpasə	təpas
təpasəvu~	təpasvu~
təpelii	təpeli
təphəɖə~cii	təpʰɖəµci
təphəɖavəvu~	təpʰɖavvu~
təphavətə	təpʰavət
təbəkko	təbəkko
təbijətə	təbijət
təbiibə	təbib
təbelo	təbelo
təməru~	təmru~
təmə~co	təməµco
təmaku~	təmaku~
təmaco	təmaco
təmamə	təmam
təmaru~	təmaru~
təmaʃo	təmaʃo
təme	təme
tərəchoɖəvu~	tərcʰoɖvu~
tərətə	tərət
tərəpheɳə	tərpʰeɳ
tərəvəraʈə	tərvəraʈ
tərəvu~	tərvu~
tərə~gə	tərə˜gə
tərə~gi	tərə˜gi
tərapə	tərap
təriike	tərike
təruɳə	təruɳ
tərkə	tərkə
tərkəʃastrə	tərkəʃastrə
tələ	təl
tələpə	tələp
tələpəvu~	tələpvu~
tələvarə	təlvar
tələsa~kəɭii	təlsa~kɭi
təvariikhə	təvarikʰ
təsəviirə	təsvir
təɭəpədu~	təɭpədu~
təɭəvu~	təɭvu~
təɭaii	təɭai
tə~tu	təntu
tə~trə	təntrə
tə~trii	təntri
tə~durəstə	təndurəst
tədurəstii	təndurəsti
tə~bu	təmbu
tə~buuro	təmburo
takəvu~	takvu~
takatə	takat
tagəvu~	tagvu~
taɟə	taɟ
taɟakələmə	taɟakələm
taɟu	taɟu
taɟetərəma~	taɟetərma~
taɳə	taɳ
taɳə	ta´
taɳəvu~	taɳvu~
tatkalikə	tatkalik
tatvikə	tattvik
tapə	tap
tapəɳu~	tapɳu~
tapəvu~	tapvu~
tabəɖətobə	tabəɖtob
tarə	tar
tarəvəvu~	tarəvvu~
taraɟə	taraɟ
tariikhə	tarikʰ
taru~	taru~
taro	taro
tarkikə	tarkik
talavelii	talaveli
taliimə	talim
taluko	taluko
tavə	tav
tavəvu~	tavvu~
taviiɟə	taviɟ
taɭəvu~	taɭvu~
taɭii	taɭi
ta~təɳo	ta~tɳo
ta~trikə	ta~trik
ta~bu~	ta~bu~
tiɟorii	tiɟori
tithi	titʰi
tirəskarə	tirəskar
tiləkə	tilək
tiikhu~	tikʰu~
tiiɖə	tiɖ
tiiɳu~	tiɳu~
tiitiighoɖo	titigʰoɖo
tiirə	tir
tiirthəjatra	tirtʰjatra
tirthəsthanə	tirtʰstʰan
tiivrə	 
tiivrə	tivrə
tucchə	tuccʰə
tumakhii	tumakʰi
turətə	turət
tuləna	tulna
tula	tula
tuverə	tuver
tu~	tu~
tuʈəvu~	tuʈvu~
tutə	tut
	tutək
turu~	turu~
te	te
teɟə	teɟ
teɟəsvii	teɟəsvi
teɟabii	teɟab
teɟii	teɟi
teʈəlu~	teʈlu~
teɖəvu~	teɖvu~
teɖu~	teɖu~
teɳii	teɳi
tetaliisə	tetalis
tetriisə	tetris
təthii	teʈʰi
temə	tem
terə	ter
terəmu~	termu~
terəʃə	terəʃ
telə	tel
tetaliisə	t´~talis
te~səʈhə	t´~səʈʰ
təijarə	təijar
təijarii	təijari
to	to
tochəɖaii	tocʰɖai
tochəɖu~	tocʰɖu~
toʈo	toʈo
toɖə	toɖ
toɖəvu~	toɖvu~
totəɖu~	totɖu~
toti~gə	toti˜gə
	toter
topə	top
to pəɳə	to pəɳ
tophanə	topʰan
tophanii	topʰani
torəɳə	torəɳ
tolə	tol
tolo	tolo
toləvu~	toɭvu~
tjəɟəvu~	tjəɟvu~
tjagə	tjagə
tjagəvu~	tjagvu~
tjagii	tjagi
tjare	tjare
tjaʃii	tjaʃi
tja~	tja~
trəɳə	trəɳ
traʈəkəvu~	traʈəkvu~
traɖə	traɖ
traɳu~	traɳu~
trasə	tras
trasəvadə	trasvad
trahitə	trahit
trikoɖə	trikøɳ
tribheʈo	tribʰeʈo
trirə~gii	trirə˜gi
triiɟə	tri:ɟ
triiɟu	tri:ɟu
triisə	tris
trepənə	trepən
treviisə	trevis
tresəʈhə	tresəʈʰ
trəimasikə	trəimasik
trophəvu~	tropʰvu~
tvəca	tvəca
	tʰəɖ
thəɖəkəvu~	tʰəɖəkvu~
thəthərəvu~	tʰətərvu~
thənəgənəvu~	tʰəngənvu~
thəppi	tʰəppi
thərə	tʰər
thərəthərə	tʰərtʰər
thəvu~	tʰəvu~
thakə	tʰak
thaɳu~	tʰaɳu~
thanəkə	tʰanək
thapəʈə	tʰapəʈ
thapəɳə	tʰapəɳ
thapo	tʰap
thabəɖəvu~	tʰabəɖvu~
thaɭə	tʰaɭ
thaɭii	tʰaɭi
tha~bhəlo	tʰa~bʰlo
thiigəɖu~	tʰigɖu~
thiiɟəvu~	tʰiɟvu~
thuulii	tʰuli
thuulu~	tʰulu~
thu~kə	tʰu~k
thepəlu~	tʰeplu~
thelii	tʰeli
thelo	tʰelo
thokəɖii	tʰokɖi
thokəɖo	tʰokɖo
thokəbə~dhə	tʰokbəndʰ
thoɖu~	tʰoɖu~
thothəvavu~	tʰotʰvavu~
thothu~	tʰotʰu~
thobhəvu~	tʰobʰvu~
thorə	tʰor
dəkʃiɳə	dəkʃiɳ
dəkʃiɳa	dəkʃiɳa
dəgakhorə	dəgakʰor
dəgabaɟə	dəgabaɟ
dəgakhorii	dəgakʰori
dəgabaɟii	dəgabaɟi
dəgo	dəgo
dəɖədəɖə	dəɖ dəɖ
dəɖəbəɖə	dəɖ bəɖ
dəɖəvu~	dəɖbu~
dəɖo	dəɖo
dəduuɖii	dəduɖi
dəbədəbo	dəbdəbo
dəbaɳə	dəbaɳ
dəbavu~	dəbavu~
dəmə	dəm
dəməkəvu~	dəməkvu~
dəmədaʈii	dəmdaʈi
dəmənə	dəman
dəmamə	dəmam
dəja	dəja
dərə	dər
dərəkarə	dərkar
dərəkhastə	dərkʰastə
dərəgahə	dərgah
	dərɟi
dərəɟəɳə	dərɟəɳ
dərəɟɟo	dərəɟɟo
dərədə	dərəd
dərədii	dərdi
dərədagiino	dərdagino
dərpəɳə	dərpəɳ
dərəbarə	dərbar
dərəmijanə	dərmijan
dərəroɟə	dərroɟ
dərəvaɟo	dərvaɟo
dərəvanə	dərvan
dərəveʃə	dərveʃ
dərʃənə	dərʃən
dərʃavəvu~	dərʃavvu~
dəraɟə	dəraɟ
dərijaii	dərijai
dərijo	dərijo
dərekə	dərek
dəroɖo	dəroɖo
dəlalə	dəlal
dəlalii	dəlali
dəlitə	dəlit
dəliilə	dəlil
dəvə	dəv
dəva	dəva
dəvakhanu~	dəvakʰanu~
dəvadaru~	dəvadaru~
dəvapaɳi	dəvapani
dəʃə	dəʃ
	dəʃək
dəʃəmə	dəʃəm
dəʃəmu~	mu& 
dəʃəmu~	dəʃmu~
dəʃa	dəʃa
dəʃa~ʃə	dəʃa~ʃ
dəʃi	dəʃi
dəʃera	dəʃera
dəsə	dəs
dəsəko	dəʃko
dəstaveɟə	dəstaveɟ
dəhaɖo	dəhaɖo
dəhii~	dəhi~
dəhiitəru~	dəhi~təru~
dəhivəɖu~	dəhi~vəɖu~
dəheɟə	dəheɟ
dəheʃətə	dəheʃət
dəɭədarə	dədar
dəɭəvu~	dəɭvu~
də~gələ	də˜gəl
də~ɖə	dəɳɖə
də~ɖəvu~	dəɳɖvu~
dətəkətha	dəntkətʰa
də~təʃuɭə	dəntʃuɭ
də~pətii	dəmpəti
də~bhə	dəmbʰ
də~bhii	dəmbʰi
də~ʃə	dəmʃ
dakhəlo	dakʰlo
dagiino	dagino
daghə	dagʰ
daɟhə	daɟʰ
daɟhəvu~	daɟʰvu~
daʈəvu~	daʈvu~
daɖəmə	daɖəm
daɖhə	daɖʰ
daɖhii	daɖʰi
daɳo	daɳo
datəɳə	datəɳ
dadərə	dadər
dadəro	dadro
dadagiirii	dadagiri
dadii	dadi
dado	dado
danə	dan
danətə	danət
danəvə	danəv
daneʃərii	daneʃəri
dabəɖii	dabɖi
dabəvu~	dabvu~
dajəko	dajko
dajəɳə	dajəɳ
daruu	daru
daruukhanu~	darukʰanu~
daruɖiijo	daruɖijo
darʃənikə	darʃənik
davə	dav
davo	davo
dasə	das
dasii	dasi
daɭə	daɭ
da~tə	da~t
da~tijo	da~tijo
digdərʃəkə	digdərʃək
digmuɖhə	digmuɖʰ
dinəcərja	dincərja
dinəratə	dinrat
dimagə	dimag
dijərə	dijər
dilə	dil
diləgirə	dilgir
diləgiirii	dilgiri
diləcəʃpə	dilcəʃpə
diləcəʃpii	dilcəʃpi
dilədarə	dildar
dilaso	dilaso
divəsə	divəs
divaso	divaso
divaɭii	divaɭi
diveɖə	diveʈ
divelə	divel
divjə	divjə
diikərii	dikri
diikəro	dikro
diidii	didi
din	din
diipə	dip
diipəkə	dipək
diipəɖo	dipɖo
diipavəlii	dipavli
diirghə	dirgə
diivada~ɖii	divada~ɖi
diivalə	dival
diivasəɭii	divasəɭi
diivii	divi
diivo	divo
dukanə	dukan
dukaɭə	dukaɭ
dukhəvu~	dukʰvu~
dukhavo	dukʰavo
dukhijaru~	dukʰijaru~
duɳavu~	duɳavu~
dunija	dunija
dupəʈʈo	dupəʈʈo
dubhagəvu~	dubʰagvu~
dubhavəvu~	dubʰavvu~
dubhavu~	dubʰavu~
dubhas°ijo	dubʰaʃijo
duragrəhə	duragrəh
duracərəɳə	duracərəɳ
duracarə	duracar
duracarii	duracari
durgətii	durgəti
durgə~dhə	durgəndʰ
durbəɭə	durbəɭ
durləbhə	durləbʰ
duva	duva
duʃmənə	duʃman
duŠkhə	dukʰ
dusadhjə	dusadʰjə
duɟhəvu~	duɟʰvu~
dudhə	dudʰ
dudhija	dudʰija
dudhii	dudʰi
dubəɭu~	dubɭu~
dubhəvəvu~	dubʰəvvu~
durə	dur
durəbiinə	bIn 
durəbiinə	durbin
drəɖhə	drəɖʰ
drəs°ʈi	drəʃʈi
dekhərekhə	dekʰrekʰ
dekhəvu~	dekʰvu~
dekhadekhii	dekʰadekʰi
dekhavə	dekʰav
dekhavəɖu~	dekʰavɖu~
dekhavu~	dekʰavu~
dekhiitu~	dekʰitu~
deɖəkii	deɖki
deɖəku~	deɖku~
deɖəko	deɖko
deraɳii	deraɳi
derasərə	derasər
derii	deri
devə	dev
devəta	devta
devənagərii	devnagri
	devəɭ
devadarə	devadar
devaɭiiju~	devaɭiju~
devii	devi
devu~	devu~
deʃə	deʃ
deʃəkaɭə	deʃkaɭ
deʃdaɟhə	deʃdaɟʰ
deʃəʈənə	deʃaʈən
deʃii	deʃi
dehə	deh
dehətjagə	dehtjag
dəinikə	dəinik
dəivii	dəivi
doʈə	doʈ
doɖə	doɖ
doɖədhamə	doɖdʰam
doɖəvu~	doɖvu~
doɖadoɖə	doɖadoɖ
doɖhə	ɖoɖʰ
doɖhəɖahju~	doɖʰɖahju~
doɖhu~	doɖʰu~
dodəɭu~	dodɭu~
dorəɖii	dorɖi
dorəɖu~	dorɖu~
dorəvəɖii	dorəvɳi
dorəvu~	dorvu~
dorii	dori
doro	doro
dos°ə	doʃ
dostə	dost
dohəvu~	dohvu~
dohitrə	dohitrə
dohitrii	dohitri
drakʃha	drakʃ
drohə	droh
dvipa	dvip
dwəimasikə	dvəimasik
dəkeləvu~	dʰəkelvu~
dhəkko	dʰəkko
dhəgəʃə	dʰəgəʃ
	dʰəɟa
dhəɖə	dʰəɖ
dhəɖəkə	dʰəɖək
dhəɖəkəvu~	dʰəɖəkvu~
dhəɖako	dʰəɖako
dhɖadhəɖə	dʰəɖadʰəɖ
dhəɖadhəɖii	dʰəɖadʰəɖi
dhəɳə	dʰəɳ
dhəɳii	dʰəɳi
dhəɳiijaɳii	dʰəɳijaɳi
dhəti~gə	dʰəti˜gə
dhənə	dʰən
dhənəterəʃə	dʰənterəʃ
dhənuʃjə	dʰənuʃjə
dhənjə	dʰənjə
dhəbəɖəko	dʰəbəɖko
dhəməkəvu~	dʰəməkvu~
dhəməkavu~	dʰəmkavvu~
dhəməkii	dʰəmki
dhəməni	dʰəmni
dhəmalə	dʰəmal
dhərətii	dʰərti
dhərəpəkəɖə	dʰərpəkəɖ
dhərəbəvu~	dʰərəbvu~
dhərəmuuɭə	dʰərmu
dhərəvu~	dʰərvu~
dhəravu~	dʰəravu~
dhərii	dʰəri
dhəro	dʰəro
dhərmə	dʰərmə
dhərməguru	dʰərməguru
dhərmatma	dʰərmatma
dhərmada	dʰərmada
dhərmantərə	dʰərmantər
dhərma~dhə	dʰərmandʰə
dhərmis°ʈə	dʰərmiʃʈ
dhəsəməsə	dʰəsməs
dhəsəvu~	dʰəsvu~
dhəsaro	dʰəsaro
dhə~dho	dʰəndʰo
dhakə	dʰak
dhaɖə	dʰaɖ
dhaɖəpaɖu	dʰaɖpaɖu
dhaɳii	dʰaɳi
dhatu	dʰatu
dhanə	dʰan
dhabu~	dʰabu~
dhamə	dʰam
dhamədhumə	dʰamdʰum
dhamo	dʰamo
dharə	dʰar
dharəɳa	dʰarɳa
dharəvu~	dʰarvu~
dharaʃaʃtrii	dʰaraʃaʃtri
dharasabha	dʰarasəbʰa
dharo	dʰaro
dharmikə	dʰarmik
dhavəɳə	dʰavəɳ
dhavəvu~	dʰavvu~
dha~dhələ	dʰa~dʰəl
dhikkarəvu~	dʰikavvu~
dhikkarə	dʰikkar
dhiimu~	dʰimu~
dhiimu~	dʰime
dhiimethii	dʰimetʰi
dhirəɟə	dʰirəɟ
dhirədharə	dʰirdʰar
dhiirəvu~	dʰirvu~
dhutarii	dʰutari
dhutaro	dʰutaro
dhupelə	dʰupel
dhumaɖiju~	dʰumaɖiju~
dumaɖo	dʰumaɖo
dhuuɳəvu~	dʰuɳvu~
dhuutəvu~	dʰutvu~
dhuunə	dʰun
dhuupə	dʰup
dhupəsəɭii	dʰupsəɭi
dhuuɭə	dʰuɭ
dhuu~apuu~a	dʰu~apu~a
dhu~dhəvavu~	dʰu~ndʰvavu~
dhu~dhəɭu~	dʰu~dʰɭu~
dhu~sərii	dʰu~sri
dokaʈəvu~	dʰokaʈvu~
dhoko	dʰoko
dhotiju~	dʰotiju~
dhotii	dʰoti
dhodhə	dʰodʰ
dhobəɳə	dʰobəɳ
dhobii	dʰobi
dhorəɳə	dʰorəɳ
dholaii	dʰolai
dhovaɳə	dʰovaɳ
dhovu~	dʰovu~
dhoɭə	dʰoɭ
dhoɭu~	dʰoɭu~
dhjnə	dʰjanə
dhjejə	dʰjej
dhruɟarii	dʰruɟari
dhvəɟə	d´vəɟ
dhvəni	dʰvani
nəkələ	nəkəl
nəkəlii	nəkli
nəkəʃiikamə	nəkʃikam
nəkəʃo	nəkʃo
nəkamu~	nkamu~
nəkarə	nəkar
nəkuuco	nəkuco
nəkorəɖo	nəkorɖo
nəkkərə	nəkkər
nəkki	nəkki
nəkʃətrə	nəkʃətrə
nəkhə	nəkʰ
nəkhəraɭu~	nəkʰraɭu~
nəkhərabaɟə	nəkʰra~baɟ
nəkhəru~	nəkʰru~
nəkhəlii	nəkʰli
nəkhəʃikhə	nəkʰʃikʰ
nəkhokhodə	nəkʰkʰod
nəgəɳu~	nəgəɳu~
nəgədə	nəgəd
nəgərə	nəgər
nəgərii	nəgri
nəgəru~	nəgru~
nəgnə	nəgnə
nəci~tə	nəci~nt
nachuutəke	nəcʰuʈke
nəɟədiikə	nəɟdik
nəɟərə	nəɟər
nəɟəraɳu~	nəɟraɳu~
nəɟəraɳu~	nəɟravu~
nəɟiikə	nəɟik
nəɟiivu~	nəɟivu~
nəʈə	nəʈ
nəʈii	nəʈi
nəʈharu~	nəʈʰaru~
nəʈhorə	nəʈʰor
nəɖətərə	nəɖtər
nəɳədələ	nəɳdəl
nəɳədii	nəɳdi
nəɳədoii	nəɳdoi
nətiiɟo	nətiɟo
nə~ɳədə	nəɳənd
nəthə	nətʰ
nəthii	tətʰi
nədii	nədi
nənamii	nənami
nənamu~	nənamu~
nənno	nənno
nəpasə	nəpas
nəpu~səkə	nəpu~msək
nəphəkəru~	nəpʰəkru~
nəphphəʈə	nəpʰpʰəʈ
nəphakhorə	nəpʰakʰor
nəpho	nəpʰo
nəbəɭaii	nəbɭai
nəbəɭu~	nəbɭu~
nəbapu~	nəbapu~
nəbhə	nəbʰ
nəbhəvu~	nəbʰvu~
nəməkə	nəmək
nəməɳu~	nəmɳu~
nəmənə	nəmən
nəməvu~	nəmvu~
nəmaɟə	nəmaɟ
nəmaju~	nəmaju~
nəmuuchiju~	nəmucʰiju~
nəmuuno	nəmuno
nəmrə	nəmrə
nəjənə	nəjən
nərə	nər
nərəkə	nərək
nərəɟati	nərɟati
nərtəkə	nərtək
nərtəkii	nərtəki
nəɭakarə	nəɭakar
nəɭakarə	nəv
nəvəɟuvanə	nəvɟuvan
nəvəɟiivənə	nəvɟivən
nəvəɟotə	nəvɟot
nəvətərə	nəvtər
nəvədha	nəvdʰa
nəvəraʃə	nəvraʃ
nəvəru~	nəvru~
nəvələkətha	nəvəlkətʰa
nəvəlika	nəvlika
nəvəvədhuu	nəvvədʰu
nəvəʃeku~	nəvʃeku
nəvəstru~	nəvəstru~
nəvaii	nəvai
nəvaɟəvu~	nəvaɟvu~
nəvaɟuunii	nəvaɟuni
nəviinə	nəvin
nəvu~	nəvu~
nəvesərəthii	nəvesərtʰi
nəvvaɳu~	nəvvaɳu~
nəʃo	nəʃo
nəsə	nəs
nəskoru~	nəskoru~
nəsiibə	nəsib
nəhi	nəhi
nəhivət	nəhivət
nəherə	nəher
nəhorə	nəhor
nəɭiju~	nəɭiju~
nəɭii	nəɭi
nə~gə	nə˜gə
na	na
nailaɟə	nailaɟ
nakə	nak
naku~	naku~
nakhəvu~	nakʰvu~
nagə	nag
nagəɳə	nagəɳ
nagərə	nagər
nagərəvelə	nagərvel
nagərikə	nagrik
nagərii	nagri
nagu~	nagu~
nacə	nac
nacəvu~	nacvu~
nachuuʈəke	nacʰuʈke
naɟukə	naɟuk
naʈəkə	naʈək
naʈəkəkarə	naʈəkkar
naʈəkiiju~	naʈəkiju~
naʈika	naʈika
naɖachəɖii	naɖacʰəɖi
naɖii	naɖi
naɖu~	naɖu~
naɳəvu~	naɳvu~
naɳakiijə	naɳakij
naɳabhiiɖə	naɳabʰiɖ
naɳu~	naɳu~
natə	nat
natəvəro	natvəro
natalə	natal
nato	nato
nathə	natʰ
nadanə	nadan
nadarə	nadar
nanəkhəʈaii	nankʰəʈai
nanəpə	nanəp
nanəmə	nanəm
nanəpəɳə	nanpəɳ
nanu~	nanu~
napasə	napas
nabhi	nabʰi
namə	nam
naməciinə	namcin
naməʈhamə	namʈʰam
namədarə	namdar
naməna	namna
namu~	namu~
najəkə	najək
najika	najika
narə~gii	narə˜gi
naraɟə	naraɟ
narijeɭə	narijeɭ
narii	nari
nalajəkə	nalajək
navə	nav
navikə	navik
naʃə	naʃ
nasə	nas
nasəpəti	naspəti
nasəbhagə	nasbʰag
nasəvu~	nasvu~
nasto	nasto
nahəkə	nahək
nahəvu~	nahvu~
naɭə	naɭ
naɭəcu~	naɭcu~
naɭu~	naɭu~
nikalə	nikal
nikasə	nikas
nikahə	nikah
nikhaləsə	nikʰaləs
niguuɖhə	niguɖʰ
nichovəvu~	nicovcu~
niɟanə~də	niɟanənd
nitarəvu~	nitarvu~
nitjə	nitjə
nitjəkərmə	nitjəkərma
nidanə	nidan
nidhənə	nidʰən
nipuɳə	nipuɳ
nibə~dhə	nibəndʰ
nibhavəvu~	nibʰavvu~
niməɳu~kə	nimɳu~k
nimə~trəɳə	niməntrəɳ
nimə~trəvu~	niməntrəvu~
nimaɖo	nimaɖo
nijəmə	nijəm
nijəmənə	nijəmən
nijəmitə	nijəmit
nijaməkə	nijamək
nijukti	nijukti
nirəkʃərə	nirəkʃər
nirəpekʃə	nirpekʃə
nirthəkə	nirərtʰək
nirə~kuʃə	nirə˜kuʃ
nirə~tərə	nirəntər
ni,rakərəɳə	nirakərəɳ
nirakarə	nirakar
niradharə	niradʰar
nirashə	niraʃ
niraɭu~	niraɭu~
nira~tə	nira~t
nirikʃəkə	nirikʃək
niruttərə	niruttər
nirupəjogii	nirupjogi
niruupəɳə	nirupəɳ
niruupəvu~	nirupvu~
nirɟənə	nirɟən
nirɟəɭə	nirɟəɭ
nirɟiivə	nirɟiv
nirɳəjə	nirɳəj
nirɳajəkə	nirɳajək
nirdəjə	nirdəj
nirdeʃə	nirdeʃ
nirdos°ə	nirdoʃ
nirdhənə	nirdʰən
nirdharə	nirdʰar
nirbəɭə	nirbə
nirbhəjə	nirbʰəj
nirbheɭə	nirbʰe
nirməɭə	nirməɭ
nirmaɳə	nirmaɳ
nirmaljə	nirmaljə
nirmuuɭə	nirmuɭ
nirvaɳə	nirvaɳ
nirvasitə	nirvasit
nirvahə	nirvah
nirvighnə	nirvign
nivarəvu~	nivarvu~
nivasi	nivas
nivasii	nivasi
nivr≤uttə	nivruttə
nivr≤utti	nivrutti
niveɖo	niveɖo
nivedənə	nivedən
niʃanə	niʃan
niʃanii	niʃani
niʃaɭə	niʃaɭ
niʃaɭijo	niʃaɭijo
niʃcəjə	niʃcəjə
niʃcitə	niʃcit
niʃvasə	niʃvas
nis°edhə	niʃedʰ
nis°kələ~kə	niʃkala˜k
nis°kriijə	niʃkrijə
nis°ʈha	niʃʈʰa
nis°ʈhurə	niʃʈur
nis°ɳatə	niʃɳat
nis°pəkʃə	niʃpəkʃə
nis°papə	niʃpap
nis°praɳə	niʃpraɳ
nis°phəɭə	niʃpʰəl
nisərəɳii	nisərɳi
nisaso	nisaso
nisteɟə	nisteɟ
nisbətə	nisbət
niharika	niharika
nihaɭəvu~	nihaɭvu~
ni~dəvu~	nindvu~
ni~da	ninda
ni:ʃəbdə	niʃəbdə
ni:ʃəstrə	niʃəstrə
ni:ʃulkə	niʃulkə
ni:sə~tanə	nisəntan
ni:sə~dehə	nisəndeh
ni:svarthə	nisvarthə
niikə	nik
niikəɭəvu~	nikəɭvu~
niicə	nic
niicaɟoɳu~	nicaɟoɳu~
niicaɳə	nicaɳ
niicu~	nicu~
niiɖərə	niɖər
niitərəvu~	nitərvu~
