अ,ə
पारिकांक्षी,p ɑː ɾ ɪ k ɑː ~ k ʃ iː
पारिजात,p ɑː ɾ ɪ d͡ʒ ɑː t̪
पारिणाय,p ɑː ɾ ɪ n ɑː j
पारिणाय्य,p ɑː ɾ ɪ n ɑː j j ə
पारित,p ɑː ɾ ɪ t̪
पारितोषिक,p ɑː ɾ ɪ t̪ oː ʃ ɪ k
पारिपार्श्विक,p ɑː ɾ ɪ p ɑː ɾ ʃ ʋ ɪ k
पारिभाषिक,p ɑː ɾ ɪ bʱ ɑː ʃ ɪ k
पारिभाषिकी,p ɑː ɾ ɪ bʱ ɑː ʃ ɪ k iː
पारिवारिक,p ɑː ɾ ɪ ʋ ɑː ɾ ɪ k
पारिश्रमिक,p ɑː ɾ ɪ ʃ ɾ ə m ɪ k
पारिषद,p ɑː ɾ ɪ ʃ ə d̪
पारिस्थितिक,p ɑː ɾ ɪ s t̪ʰ ɪ t̪ ɪ k
पारी,p ɑː ɾ iː
पारूष्य,p ɑː ɾ ʊ ʃ j ə
पार्थक्य,p ɑː ɾ t̪ʰ ə k j ə
पार्थिव,p ɑː ɾ t̪ʰ ɪ ʋ
पार्वण,p ɑː ɾ ʋ ə n
पार्वती,p ɑː ɾ ʋ ə t̪ iː
पार्वतीय,p ɑː ɾ ʋ ə t̪ iː j ə
पार्वत्य,p ɑː ɾ ʋ ə t̪ j ə
पार्श्व,p ɑː ɾ ʃ ʋ ə
पार्श्विक,p ɑː ɾ ʃ ʋ ɪ k
पार्षद,p ɑː ɾ ʃ ə d̪
पालंक,p ɑː l ə ~ k
पाल,p ɑː l
पाल,p ɑː l
पाल,p ɑː l
-पाल,- p ɑː l
पालक,p ɑː l ə k
पालक,p ɑː l ə k
पालक,p ɑː l ə k
पालकडा़,p ɑː l ə k ɽ ɑː
पालकी,p ɑː l k iː
पालट,p ɑː l ə ʈ
पालती,p ɑː l t̪ iː
पालतू,p ɑː l t̪ uː
पालथी,p ɑː l t̪ʰ iː
पालन,p ɑː l ə n
पालना,p ɑː l n ɑː
पालना,p ɑː l n ɑː
पाला,p ɑː l ɑː
पाला,p ɑː l ɑː
पाला,p ɑː l ɑː
पाला,p ɑː l ɑː
पाला,p ɑː l ɑː
पाला,p ɑː l ɑː
पालागन,p ɑː l ɑː g ə n
पालाश,p ɑː l ɑː ʃ
पालि,p ɑː l ɪ
पालित,p ɑː l ɪ t̪
पाली,p ɑː l iː
पाली,p ɑː l iː
पालू,p ɑː l uː
पालो,p ɑː l oː
पाल्य,p ɑː l j ə
पाव,p ɑː ʋ
पाव-,p ɑː ʋ -
पावक,p ɑː ʋ ə k
पावती,p ɑː ʋ t̪ iː
पावदान,p ɑː ʋ d̪ ɑː n
पावन,p ɑː ʋ ə n
पावना,p ɑː ʋ n ɑː
पावमान,p ɑː ʋ ə m ɑː n
पावला,p ɑː ʋ l ɑː
पावली,p ɑː ʋ l iː
पावस,p ɑː ʋ ə s
पावित,p ɑː ʋ ɪ t̪
पाश,p ɑː ʃ
पाश,p ɑː ʃ
पाशविक,p ɑː ʃ ʋ ɪ k
पाशा,p ɑː ʃ ɑː
पाशित,p ɑː ʃ ɪ t̪
पाश्चात्य,p ɑː ʃ t͡ʃ ɑː t̪ j ə
पाश्चात्यीकरण,p ɑː ʃ t͡ʃ ɑː t̪ j iː k ə ɾ ə n
पाषंड,p ɑː ʃ ə n ɖ
पाषंडी,p ɑː ʃ ə n ɖ iː
पाषाण,p ɑː ʃ ɑː n
पाषाणी,p ɑː ʃ ɑː n iː
पाषाणीय,p ɑː ʃ ɑː n iː j ə
पासंग,p ɑː s ə ŋ g
पासंघ,p ɑː s ə ŋ gʱ
पास,p ɑː s
पास,p ɑː s
पास,p ɑː s
पासना,p ɑː s n ɑː
पासबान,p ɑː s b ɑː n
पासबानी,p ɑː s b ɑː n iː
पासबानी,p ɑː s b ɑː n iː
पासा,p ɑː s ɑː
पासी,p ɑː s iː
पासी,p ɑː s iː
पाहन,p ɑː ɦ ə n
पाहिं,p ɑː ɦ ɪ ~
पाही,p ɑː ɦ iː
पाहुन,p ɑː ɦ ʊ n
पाहुना,p ɑː ɦ ʊ n ɑː
पाहुनाई,p ɑː ɦ ʊ n ɑː iː
पाहुनी,p ɑː ɦ ʊ n iː
पिंग,p ɪ ŋ g
पिंगल,p ɪ ŋ g ə l
पिंगला,p ɪ ŋ g ə l ɑː
पिंगलिका,p ɪ ŋ g ə l ɪ k ɑː
पिंगूड़ा़,p ɪ ŋ g uː ɽ ɑː
पिंगूरा,p ɪ ŋ g uː ɾ ɑː
पिंघूरा,p ɪ ŋ gʱ uː ɾ ɑː
पिंजडा़,p ɪ n ɽ ɑː
पिंजट,p ɪ n ə ʈ
पिंजना,p ɪ n d͡ʒ n ɑː
पिंजर,p ɪ n ə ɾ
पिंजर,p ɪ n ə ɾ
पिंजरा,p ɪ n ɾ ɑː
पिंजरी,p ɪ n ɾ iː
पिंजवाना,p ɪ n d͡ʒ ʋ ɑː n ɑː
पिंजारा,p ɪ n ɑː ɾ ɑː
पिंजियारा,p ɪ n ɪ j ɑː ɾ ɑː
पिंड,p ɪ n ɖ
पिंडक,p ɪ n ɖ ə k
पिंडली,p ɪ n ɖ l iː
पिंडा,p ɪ n ɖ ɑː
पिंडार,p ɪ n ɖ ɑː ɾ
पिंडारा,p ɪ n ɖ ɑː ɾ ɑː
पिंडारी,p ɪ n ɖ ɑː ɾ iː
पिंडी,p ɪ n ɖ iː
पिंडीर,p ɪ n ɖ iː ɾ
पिंडोल,p ɪ n ɖ oː l
पिंपियाना,p ɪ m p ɪ j ɑː n ɑː
पिंशन,p ɪ n ʃ ə n
पिउ,p ɪ ʊ
पिउ,p ɪ ʊ
पिक,p ɪ k
पिकी,p ɪ k iː
पिघलना,p ɪ gʱ ə l n ɑː
पिघलवाना,p ɪ gʱ ə l ʋ ɑː n ɑː
पिघलाऊ,p ɪ gʱ l ɑː uː
पिघलाना,p ɪ gʱ l ɑː n ɑː
पिघलाव,p ɪ gʱ l ɑː ʋ
पिचकना,p ɪ t͡ʃ ə k n ɑː
पिचकाना,p ɪ t͡ʃ k ɑː n ɑː
पिचकारी,p ɪ t͡ʃ k ɑː ɾ iː
पिच-पिच,p ɪ t͡ʃ - p ɪ t͡ʃ
पिचपिचा,p ɪ t͡ʃ p ɪ t͡ʃ ɑː
पिचपिचाना,p ɪ t͡ʃ p ɪ t͡ʃ ɑː n ɑː
पिचर-पिचर,p ɪ t͡ʃ ə ɾ - p ɪ t͡ʃ ə ɾ
पिच्च,p ɪ t͡ʃ t͡ʃ
पिच्चट,p ɪ t͡ʃ t͡ʃ ə ʈ
पिच्ची,p ɪ t͡ʃ t͡ʃ iː
पिच्छल,p ɪ t͡ʃ t͡ʃʰ ə l
पिच्छिका,p ɪ t͡ʃ t͡ʃʰ ɪ k ɑː
पिछडना,p ɪ t͡ʃʰ ə ɽ n ɑː
पिछडा़पन,p ɪ t͡ʃʰ ɽ ɑː p ə n
पिछड़ेपान,p ɪ t͡ʃʰ ɽ eː p ɑː n
पिछला-,p ɪ t͡ʃʰ ə l -
पिछलग,p ɪ t͡ʃʰ l ə g
पिछलगा,p ɪ t͡ʃʰ l ə g ɑː
पिछलगुआपन,p ɪ t͡ʃʰ l ə g ʊ ɑː p ə n
पिछलग्गू,p ɪ t͡ʃʰ l ə g g uː
पिछलना,p ɪ t͡ʃʰ ə l n ɑː
पिछला,p ɪ t͡ʃʰ l ɑː
पिछवाडा़,p ɪ t͡ʃʰ ʋ ɑː ɽ ɑː
पिछवाडी़,p ɪ t͡ʃʰ ʋ ɑː ɽ iː
पिछाडी़,p ɪ t͡ʃʰ ɑː ɽ iː
पिछूत,p ɪ t͡ʃʰ uː t̪
पिछेलना,p ɪ t͡ʃʰ eː l n ɑː
पिछैत,p ɪ t͡ʃʰ ɛː t̪
पिछौरा,p ɪ t͡ʃʰ ɔː ɾ ɑː
पिछौरी,p ɪ t͡ʃʰ ɔː ɾ iː
पिटना,p ɪ ʈ n ɑː
पिटपिटाना,p ɪ ʈ p ɪ ʈ ɑː n ɑː
पिटवाना,p ɪ ʈ ʋ ɑː n ɑː
पिटारा,p ɪ ʈ ɑː ɾ ɑː
पिटारी,p ɪ ʈ ɑː ɾ iː
पिटारी,p ɪ ʈ ɑː ɾ iː
पिटारु,p ɪ ʈ ɑː ɾ uː
पिट्टक,p ɪ ʈ ʈ ə k
पिट्टस,p ɪ ʈ ʈ ə s
पिट्ठू,p ɪ ʈ ʈʰ uː
पिड़कुली,p ɪ ɽ k ʊ l iː
पिढ़ुली,p ɪ ɽʱ ʊ l iː
पितर,p ɪ t̪ ə ɾ
पितराई,p ɪ t̪ ɾ ɑː iː
पितलाना,p ɪ t̪ l ɑː n ɑː
पिता,p ɪ t̪ ɑː
पितामह,p ɪ t̪ ɑː m ə ɦ
पितामही,p ɪ t̪ ɑː m ə ɦ iː
पितिया,p ɪ t̪ ɪ j ɑː
पितियानी,p ɪ t̪ ɪ j ɑː n iː
पितु,p ɪ t̪ ʊ
पितृ,p ɪ t̪ ɾ ɪ
पितृक,p ɪ t̪ ɾ ɪ k
पितृत्व,p ɪ t̪ ɾ ɪ t̪ ʋ ə
पितृव्य,p ɪ t̪ ɾ ɪ ʋ j ə
पित्त,p ɪ t̪ t̪
पित्तल,p ɪ t̪ t̪ ə l
पित्तल,p ɪ t̪ t̪ ə l
पित्ता,p ɪ t̪ t̪ ɑː
पित्ती,p ɪ t̪ t̪ iː
पिदडी़,p ɪ d̪ ɽ iː
पिद्दा,p ɪ d̪ d̪ ɑː
पिद्दी,p ɪ d̪ d̪ iː
पिधान,p ɪ d̪ʱ ɑː n
पिन,p ɪ n
पिनक,p ɪ n ə k
पिनकी,p ɪ n k iː
पिनपिन,p ɪ n p ɪ n
पिनपिनहाँ,p ɪ n p ɪ n ɦ ɑː ~
पिनपिनाना,p ɪ n p ɪ n ɑː n ɑː
पिनपिनाहट,p ɪ n p ɪ n ɑː ɦ ə ʈ
पिनसी,p ɪ n s iː
पिनाक,p ɪ n ɑː k
पिनाकी,p ɪ n ɑː k iː
पिनाकी,p ɪ n ɑː k iː
पिन्ना,p ɪ n n ɑː
पिन्ना,p ɪ n n ɑː
पिन्नी,p ɪ n n iː
पिन्हाना,p ɪ n ɦ ɑː n ɑː
पिपासा,p ɪ p ɑː s ɑː
पिपासित,p ɪ p ɑː s ɪ t̪
पिपासु,p ɪ p ɑː s ʊ
पिपीलक,p ɪ p iː l ə k
पिपीलिका,p ɪ p iː l ɪ k ɑː
पिपौली,p ɪ p ɔː l iː
पिप्पल,p ɪ p p ə l
पिप्पलक,p ɪ p p ə l ə k
पिप्पली,p ɪ p p ə l iː
पिबियाना,p ɪ b ɪ j ɑː n ɑː
पिबियाहट,p ɪ b ɪ j ɑː ɦ ə ʈ
पिय,p ɪ j
पिय,p ɪ j
पियक्कड़,p ɪ j ə k k ə ɽ
पिया,p ɪ j ɑː
पियाना,p ɪ j ɑː n ɑː
पियाबाँसा,p ɪ j ɑː b ɑː n s ɑː
पियाल,p ɪ j ɑː l
पियाला,p ɪ j ɑː l ɑː
पियासी,p ɪ j ɑː s iː
पिरकी,p ɪ ɾ k iː
पिरवाना,p ɪ ɾ ʋ ɑː n ɑː
पिरा-,p ɪ ɾ ɑː -
पिराइन,p ɪ ɾ ɑː ɪ n
पिरिंच,p ɪ ɾ ɪ n t͡ʃ
पिरिच,p ɪ ɾ ɪ t͡ʃ
पिरीज,p ɪ ɾ iː d͡ʒ
पिरोजा,p ɪ ɾ oː d͡ʒ ɑː
पिरोना,p ɪ ɾ oː n ɑː
पिलई,p ɪ l ə iː
पिलचना,p ɪ l ə t͡ʃ n ɑː
पिलडी़,p ɪ l ɽ iː
पिलना,p ɪ l n ɑː
पिलपिला,p ɪ l p ɪ l ɑː
पिलपिलाना,p ɪ l p ɪ l ɑː n ɑː
पिलपिलाहट,p ɪ l p ɪ l ɑː ɦ ə ʈ
पिलवाना,p ɪ l ʋ ɑː n ɑː
पिलवाना,p ɪ l ʋ ɑː n ɑː
पिलाई,p ɪ l ɑː iː
पिलाना,p ɪ l ɑː n ɑː
पिलास,p ɪ l ɑː s
पिल्ला,p ɪ l l ɑː
पिल्लू,p ɪ l l uː
पिव-,p ɪ ʋ -
पिशंग,p ɪ ʃ ə ŋ g
पिशाच,p ɪ ʃ ɑː t͡ʃ
पिशाचक,p ɪ ʃ ɑː t͡ʃ ə k
पिशाचिनी,p ɪ ʃ ɑː t͡ʃ ɪ n iː
पिशाची,p ɪ ʃ ɑː t͡ʃ iː
पिशिंत,p ɪ ʃ ɪ t̪
पिशुन,p ɪ ʃ ʊ n
पिशुनता,p ɪ ʃ ʊ n ə t̪ ɑː
पिष्ट,p ɪ ʃ ʈ
पिसता,p ɪ s t̪ ɑː
पिसनहारा,p ɪ s ə n ɦ ɑː ɾ ɑː
पिसनहारी,p ɪ s ə n ɦ ɑː ɾ iː
पिसना,p ɪ s n ɑː
पिसलाना,p ɪ s l ɑː n ɑː
पिसवाई,p ɪ s ʋ ɑː iː
पिसवाना,p ɪ s ʋ ɑː n ɑː
पिसाई,p ɪ s ɑː iː
पिसान,p ɪ s ɑː n
पिसाना,p ɪ s ɑː n ɑː
पिसोरा,p ɪ s oː ɾ ɑː
पिस्तई,p ɪ s t̪ ə iː
पिस्तौल,p ɪ s t̪ ɔː l
पिस्सू,p ɪ s s uː
पिहकना,p ɪ ɦ ə k n ɑː
पिहान,p ɪ ɦ ɑː n
पिहाना,p ɪ ɦ ɑː n ɑː
पिहानी,p ɪ ɦ ɑː n iː
पिहुआ,p ɪ ɦ ʊ ɑː
पींग,p iː ŋ g
पींजना,p iː n d͡ʒ n ɑː
पींड,p iː n ɖ
पींडी,p iː n ɖ iː
पी,p iː
पीक,p iː k
पीच,p iː t͡ʃ
पीचना,p iː t͡ʃ n ɑː
पीचू,p iː t͡ʃ uː
पीछा,p iː t͡ʃʰ ɑː
पीछू,p iː t͡ʃʰ uː
पीछे,p iː t͡ʃʰ eː
पीटना,p iː ʈ n ɑː
पीठ,p iː ʈʰ
पीठ,p iː ʈʰ
पीठा,p iː ʈʰ ɑː
पीठिका,p iː ʈʰ ɪ k ɑː
पीठी,p iː ʈʰ iː
पीठौता,p iː ʈʰ ɔː t̪ ɑː
पीड़,p iː ɽ
पीड़क,p iː ɽ ə k
पीड़न,p iː ɽ ə n
पीड़ना,p iː ɽ n ɑː
पीडा़,p iː ɽ ɑː
पीड़ित,p iː ɽ ɪ t̪
पीढा़,p iː ɽʱ ɑː
पीढी़,p iː ɽʱ iː
पीत,p iː t̪
पीत,p iː t̪
पीतक,p iː t̪ ə k
पीतता,p iː t̪ ə t̪ ɑː
पीतम,p iː t̪ ə m
पीतल,p iː t̪ ə l
पीतस,p iː t̪ ə s
पीतसरा,p iː t̪ ə s ɾ ɑː
पीन,p iː n
पीनक,p iː n ə k
पीनना,p iː n n ɑː
पीनस,p iː n ə s
पीनस,p iː n ə s
पीना,p iː n ɑː
पीना,p iː n ɑː
पीप,p iː p
पीपडा़,p iː p ɽ ɑː
पीपडी़,p iː p ɽ iː
पीपल,p iː p ə l
पीपल,p iː p ə l
पीपला,p iː p l ɑː
पीपला,p iː p l ɑː
पीपा,p iː p ɑː
पीब,p iː b
पियूष,p iː j uː ʃ
पीर,p iː ɾ
पीर,p iː ɾ
पीरी,p iː ɾ iː
पीरू,p iː ɾ uː
पील,p iː l
पीलक,p iː l ə k
पीला,p iː l ɑː
पीलाई,p iː l ɑː iː
पीलापन,p iː l ɑː p ə n
पीलाम,p iː l ɑː m
पीलिया,p iː l ɪ j ɑː
पीली,p iː l iː
पीलू,p iː l uː
पीलू,p iː l uː
पीलू,p iː l uː
पीलो,p iː l oː
पीवर,p iː ʋ ə ɾ
पीवा,p iː ʋ ɑː
पीसन,p iː s ə n
पीसना,p iː s n ɑː
पिसनी,p iː s n iː
पीहर,p iː ɦ ə ɾ
पीहू,p iː ɦ uː
पुं-,p ʊ ~ -
पुंगरिया,p ʊ ŋ g ɾ ɪ j ɑː
पुँगरी,p ʊ ŋ g ɾ iː
पुंगव,p ʊ ŋ g ə ʋ
पुंगी,p ʊ ŋ g iː
पुंज,p ʊ n
पुंजित,p ʊ n ɪ t̪
पुँछल्ल,p ʊ n t͡ʃʰ ə l l ə
पुंजीभूत,p ʊ n iː bʱ uː t̪
पुंडरिया,p ʊ n ɖ ə ɾ ɪ j ɑː
पुंडरीक,p ʊ n ɖ ə ɾ iː k
पुंड्र,p ʊ n ɖ ɾ ə
पुंडेरिया,p ʊ n ɖ eː ɾ ɪ j ɑː
पुंलिंग,p ʊ ~ l ɪ ŋ g
पुंश्चली,p ʊ n ʃ t͡ʃ ə l iː
पुंस्,p ʊ n s
पुंसत्व,p ʊ n s ə t̪ ʋ ə
पुआ,p ʊ ɑː
पुआल,p ʊ ɑː l
पुकार,p ʊ k ɑː ɾ
पुकारना,p ʊ k ɑː ɾ n ɑː
पुकारा,p ʊ k ɑː ɾ ɑː
पुख,p ʊ kʰ
पुखराज,p ʊ kʰ ɾ ɑː d͡ʒ
पुख़्ता,p ʊ x t̪ ɑː
पुचकारना,p ʊ t͡ʃ k ɑː ɾ n ɑː
पुचकारा,p ʊ t͡ʃ k ɑː ɾ ɑː
पुचकारी,p ʊ t͡ʃ k ɑː ɾ iː
पुचकारी,p ʊ t͡ʃ k ɑː ɾ iː
पुचाडा़,p ʊ t͡ʃ ɑː ɽ ɑː
पुचारा,p ʊ t͡ʃ ɑː ɾ ɑː
पुच्छ,p ʊ t͡ʃ t͡ʃʰ
पुच्छत्तर,p ʊ t͡ʃ t͡ʃʰ ə t̪ t̪ ə ɾ
पुच्छल,p ʊ t͡ʃ t͡ʃʰ ə l
पुच्छी,p ʊ t͡ʃ t͡ʃʰ iː
पुछना,p ʊ t͡ʃʰ n ɑː
पुछल्ला,p ʊ t͡ʃʰ ə l l ɑː
पुछवाना,p ʊ t͡ʃʰ ʋ ɑː n ɑː
पुछवैया,p ʊ t͡ʃʰ ʋ ɛː j ɑː
पुछार,p ʊ t͡ʃʰ ɑː ɾ
पुजना,p ʊ d͡ʒ n ɑː
पुजना,p ʊ d͡ʒ n ɑː
पुजवाना,p ʊ d͡ʒ ʋ ɑː n ɑː
पुजवाना,p ʊ d͡ʒ ʋ ɑː n ɑː
पुजा-,p ʊ d͡ʒ ɑː -
पुजाना,p ʊ d͡ʒ ɑː n ɑː
पुजापा,p ʊ d͡ʒ ɑː p ɑː
पुजारी,p ʊ d͡ʒ ɑː ɾ iː
पुट,p ʊ ʈ
पुट,p ʊ ʈ
पुटकी,p ʊ ʈ k iː
पुटपुटाना,p ʊ ʈ p ʊ ʈ ɑː n ɑː
पुटी,p ʊ ʈ iː
पुट्ठा,p ʊ ʈ ʈʰ ɑː
पुठवाल,p ʊ ʈʰ ʋ ɑː l
पुडा़,p ʊ ɽ ɑː
पुडा़,p ʊ ɽ ɑː
पुडि़या,p ʊ ɽ ɪ j ɑː
पुडी़,p ʊ ɽ iː
पुण्य,p ʊ n j ə
पुण्याई,p ʊ n j ɑː iː
पुतना,p ʊ t̪ n ɑː
पुतला,p ʊ t̪ l ɑː
पुतली,p ʊ t̪ l iː
पुतवाई,p ʊ t̪ ʋ ɑː iː
पुतवाना,p ʊ t̪ ʋ ɑː n ɑː
पुताई,p ʊ t̪ ɑː iː
पुत्तलिका,p ʊ t̪ t̪ ə l ɪ k ɑː
पुत्र,p ʊ t̪ ɾ
पुत्रता,p ʊ t̪ ɾ ə t̪ ɑː
पुत्रिका,p ʊ t̪ ɾ ɪ k ɑː
पुत्री,p ʊ t̪ ɾ iː
पुदीना,p ʊ d̪ iː n ɑː
पुन,p ʊ n
पुनः,p ʊ n ə ɦ
पुनना,p ʊ n n ɑː
पुनर्-,p ʊ n ə ɾ -
पुनश-,p ʊ n ə ʃ -
पुनाग,p ʊ n ɑː g
पुनि,p ʊ n ɪ
पुनीत,p ʊ n iː t̪
पुन्न,p ʊ n n
पुरंजन,p ʊ ɾ ə n ə n
पुरंदर,p ʊ ɾ ə n d̪ ə ɾ
पुर,p ʊ ɾ
पुर,p ʊ ɾ
पुर-,p ʊ ɾ -
पुरइन,p ʊ ɾ ə ɪ n
पुर-,p ʊ ɾ ə ɦ -
पुरखा,p ʊ ɾ kʰ ɑː
पुरचक,p ʊ ɾ t͡ʃ ə k
पुरजा़,p ʊ ɾ z ɑː
पुरट,p ʊ ɾ ə ʈ
पुरता,p ʊ ɾ t̪ ɑː
पुरनिया,p ʊ ɾ ə n ɪ j ɑː
पुरवट,p ʊ ɾ ʋ ə ʈ
पुरवा,p ʊ ɾ ʋ ɑː
पुरवा,p ʊ ɾ ʋ ɑː
पुरवाना,p ʊ ɾ ʋ ɑː n ɑː
पुरवैया,p ʊ ɾ ʋ ɛː j ɑː
पुरश-,p ʊ ɾ ə ʃ -
पुरस-,p ʊ ɾ ə s -
पुरसा,p ʊ ɾ s ɑː
पुरा,p ʊ ɾ ɑː
पुरा,p ʊ ɾ ɑː
पुरा,p ʊ ɾ ɑː
पुरा-,p ʊ ɾ ɑː -
पुराण,p ʊ ɾ ɑː n
पुरातत्व,p ʊ ɾ ɑː - t̪ ə t̪ t̪ ʋ ə
पुरातन,p ʊ ɾ ɑː - t̪ ə n
पुरातनता,p ʊ ɾ ɑː - t̪ ə n ə t̪ ɑː
पुरातात्त्विक,p ʊ ɾ ɑː - t̪ ɑː t̪ t̪ ʋ ɪ k
पुराना,p ʊ ɾ ɑː n ɑː
पुरानापन,p ʊ ɾ ɑː n ɑː p ə n
पुरालिपि,p ʊ ɾ ɑː - l ɪ p ɪ
पुरालेख,p ʊ ɾ ɑː - l eː kʰ
पुरावशेष,p ʊ ɾ ɑː ʋ ə - ʃ eː ʃ
पुरी,p ʊ ɾ iː
पुरी,p ʊ ɾ iː
पुरीष,p ʊ ɾ iː ʃ
पुरुष,p ʊ ɾ ʊ ʃ
पुरुषत्व,p ʊ ɾ ʊ ʃ ə t̪ ʋ ə
पुरो-,p ʊ ɾ oː -
पुरोता,p ʊ ɾ oː t̪ ɑː
पुरौती,p ʊ ɾ ɔː t̪ iː
पुल,p ʊ l
पुल,p ʊ l
पुलंदा,p ʊ l ə n d̪ ɑː
पुलक,p ʊ l ə k
पुलकना,p ʊ l ə k n ɑː
पुलकाना,p ʊ l k ɑː n ɑː
पुलकित,p ʊ l ə k ɪ t̪
पुलकी,p ʊ l ə k iː
पुलकी,p ʊ l ə k iː
पुलटिस,p ʊ l ʈ ɪ s
पुलपुलाना,p ʊ l p ʊ l ɑː n ɑː
पुलपुलाना,p ʊ l p ʊ l ɑː n ɑː
पुलपुलाहट,p ʊ l p ʊ l ɑː ɦ ə ʈ
पुलस्ति,p ʊ l ə s t̪ ɪ
पुलहाना,p ʊ l ɦ ɑː n ɑː
पुलाव,p ʊ l ɑː ʋ
पुलिंदा,p ʊ l ɪ n d̪ ɑː
पुलिज,p ʊ l ɪ d͡ʒ
पुलिन,p ʊ l ɪ n
पुलिया,p ʊ l ɪ j ɑː
पुलिस,p ʊ l ɪ s
पुलीद,p ʊ l iː d̪
पुल्लिंग,p ʊ l l ɪ ŋ g
पुश्त,p ʊ ʃ t̪
पुश्तक,p ʊ ʃ t̪ ə k
पुश्ता,p ʊ ʃ t̪ ɑː
पुश्ती,p ʊ ʃ t̪ iː
पुश्तैनी,p ʊ ʃ t̪ ɛː n iː
पुषित,p ʊ ʃ ɪ t̪
पुष्कर,p ʊ ʃ k ə ɾ
पुष्करिणी,p ʊ ʃ k ə ɾ ɪ n iː
पुष्कल,p ʊ ʃ k ə l
पुष्ट,p ʊ ʃ ʈ
पुष्टई,p ʊ ʃ ʈ ə iː
पुष्टता,p ʊ ʃ ʈ ə t̪ ɑː
पुष्टि,p ʊ ʃ ʈ ɪ
पुष्टीकरण,p ʊ ʃ ʈ iː k ə ɾ ə n
पुष्प,p ʊ ʃ p
पुष्पक,p ʊ ʃ p ə k
पुष्पिका,p ʊ ʃ p ɪ k ɑː
पुष्पित,p ʊ ʃ p ɪ t̪
पुष्पिता,p ʊ ʃ p ɪ t̪ ɑː
पुष्पी,p ʊ ʃ p iː
पुष्य,p ʊ ʃ j ə
पुसपूत,p ʊ s p uː t̪
पुस्त,p ʊ s t̪
पुस्तक,p ʊ s t̪ ə k
पुस्तकीय,p ʊ s t̪ ə k iː j ə
पुस्तिक,p ʊ s t̪ ɪ k ɑː
पुहना,p ʊ ɦ n ɑː
पुहुप,p ʊ ɦ ʊ p
पुहुमि,p ʊ ɦ ʊ m ɪ
पूँगडा़,p uː ŋ g ɽ ɑː
पूँगी़,p uː ŋ g iː
पूँछ,p uː n t͡ʃʰ
पूँछार,p uː n t͡ʃʰ ɑː ɾ
पूँजी,p uː n d͡ʒ iː
पूग,p uː g
पूग-,p uː g -
पूगी,p uː g iː
पूछ,p uː t͡ʃʰ
पूछन,p uː t͡ʃʰ ə n
पूछना,p uː t͡ʃʰ n ɑː
पूछा,p uː t͡ʃʰ ɑː
पूज-,p uː d͡ʒ -
पूजक,p uː d͡ʒ ə k
पूजत,p uː d͡ʒ ə t̪
पूजन,p uː d͡ʒ ə n
पूजना,p uː d͡ʒ n ɑː
पूजनीय,p uː d͡ʒ ə n iː j ə
पूजयिता,p uː d͡ʒ ə j ɪ t̪ ɑː
पूजा,p uː d͡ʒ ɑː
पूजित,p uː d͡ʒ ɪ t̪
पूजेरु,p uː d͡ʒ eː ɾ uː
पूज्य,p uː d͡ʒ j ə
पूज्यत्व,p uː d͡ʒ j ə t̪ ʋ ə
पूट,p uː ʈ
पूठ,p uː ʈʰ
पूठा,p uː ʈʰ ɑː
पूडा़,p uː ɽ ɑː
पूडी़,p uː ɽ iː
पूत,p uː t̪
पूत,p uː t̪
पूति,p uː t̪ ɪ
पूति,p uː t̪ ɪ
पूनम,p uː n ə m
पूनसलाई,p uː n - s ə l ɑː iː
पूनी,p uː n iː
पूनो,p uː n oː
पूप,p uː p
पूपला,p uː p l ɑː
पूय,p uː j ə
पूर,p uː ɾ
पूर,p uː ɾ
पूर-,p uː ɾ -
पूरक,p uː ɾ ə k
पूरण,p uː ɾ ə n
पूरन,p uː ɾ n
पूरब,p uː ɾ ə b
पूरबी,p uː ɾ b iː
पूरबी,p uː ɾ b iː
पूरबीपन,p uː ɾ b iː p ə n
पूरा,p uː ɾ ɑː
पूराई,p uː ɾ ɑː iː
पूरापन,p uː ɾ ɑː p ə n
पूरित,p uː ɾ ɪ t̪
पुरिया,p uː ɾ ɪ j ɑː
पूरी,p uː ɾ iː
पूर्ण,p uː ɾ n
पूर्णता,p uː ɾ n ə t̪ ɑː
पूर्णिमा,p uː ɾ n ɪ m ɑː
पूर्ति,p uː ɾ t̪ ɪ
पूर्व,p uː ɾ ʋ
-पूर्वक,- p uː ɾ ʋ ə k
पूर्वता,p uː ɾ ʋ ə t̪ ɑː
पूर्वी,p uː ɾ ʋ iː
पूर्वीय,p uː ɾ ʋ iː j ə
पूला,p uː l ɑː
पूली,p uː l iː
पूष,p uː ʃ
पूष,p uː ʃ
पूषन,p uː ʃ ə n
पूस,p uː s
पृच्छा,p ɾ ɪ t͡ʃ t͡ʃʰ ɑː
पृथक्,p ɾ ɪ t̪ʰ ə k
पृथकता,p ɾ ɪ t̪ʰ ə k ə t̪ ɑː
पृथिवी,p ɾ ɪ t̪ʰ ɪ ʋ iː
पृथु,p ɾ ɪ t̪ʰ ʊ
पृथ्वी,p ɾ ɪ t̪ʰ ʋ iː
पृश्नि,p ɾ ɪ ʃ n ɪ
पृष्ठ,p ɾ ɪ ʃ ʈʰ
पें,p eː ~
पेंग,p eː ŋ g
पेंच,p eː n t͡ʃ
पेंड-,p eː n ɖ -
पेंदा,p eː n d̪ ɑː
